LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
ARG,GDP,TOT,USD_CAP,A,2006,15460.41412,
ARG,GDP,TOT,USD_CAP,A,2007,17136.46023,
ARG,GDP,TOT,USD_CAP,A,2008,18000.20315,
ARG,GDP,TOT,USD_CAP,A,2009,16898.99172,
ARG,GDP,TOT,USD_CAP,A,2010,18524.85676,
ARG,GDP,TOT,USD_CAP,A,2011,19817.45048,
ARG,GDP,TOT,USD_CAP,A,2012,19764.22501,
ARG,GDP,TOT,USD_CAP,A,2013,20365.61335,
ARG,GDP,TOT,USD_CAP,A,2014,20008.32064,
ARG,GDP,TOT,USD_CAP,A,2015,20551.83319,
ARG,GDP,TOT,USD_CAP,A,2016,20130.40803,
AUS,GDP,TOT,USD_CAP,A,2006,37844.78209,
AUS,GDP,TOT,USD_CAP,A,2007,39597.74312,
AUS,GDP,TOT,USD_CAP,A,2008,40094.83321,
AUS,GDP,TOT,USD_CAP,A,2009,41615.32666,
AUS,GDP,TOT,USD_CAP,A,2010,42787.35854,
AUS,GDP,TOT,USD_CAP,A,2011,44419.30975,
AUS,GDP,TOT,USD_CAP,A,2012,43879.18036,
AUS,GDP,TOT,USD_CAP,A,2013,47761.21406,
AUS,GDP,TOT,USD_CAP,A,2014,47638.63344,
AUS,GDP,TOT,USD_CAP,A,2015,47351.04729,
AUS,GDP,TOT,USD_CAP,A,2016,50309.40573,
BGR,GDP,TOT,USD_CAP,A,2006,11249.36626,
BGR,GDP,TOT,USD_CAP,A,2007,12606.95651,
BGR,GDP,TOT,USD_CAP,A,2008,14089.68769,
BGR,GDP,TOT,USD_CAP,A,2009,13925.02386,
BGR,GDP,TOT,USD_CAP,A,2010,14598.5855,
BGR,GDP,TOT,USD_CAP,A,2011,15661.19215,
BGR,GDP,TOT,USD_CAP,A,2012,16241.60731,P
BGR,GDP,TOT,USD_CAP,A,2013,16581.78042,P
BGR,GDP,TOT,USD_CAP,A,2014,17555.51587,P
BGR,GDP,TOT,USD_CAP,A,2015,18342.03989,P
BGR,GDP,TOT,USD_CAP,A,2016,20009.53859,P
CHN,GDP,TOT,USD_CAP,A,2006,5852.349553,
CHN,GDP,TOT,USD_CAP,A,2007,6829.424541,
CHN,GDP,TOT,USD_CAP,A,2008,7595.73421,
CHN,GDP,TOT,USD_CAP,A,2009,8332.410641,
CHN,GDP,TOT,USD_CAP,A,2010,9281.496213,
CHN,GDP,TOT,USD_CAP,A,2011,10330.74736,
CHN,GDP,TOT,USD_CAP,A,2012,11300.2965,
CHN,GDP,TOT,USD_CAP,A,2013,12331.05589,
CHN,GDP,TOT,USD_CAP,A,2014,13411.504,
